Moscou; 2; Chambre; Bricolage, Babysitting; Pas d animaux, Non fumeur; Piscine, Blanchissage; Transfert possible; Pension complète; 29/7/2023; 30/7/2023; -99; 21; 2; 0
Toulouse; 5; Tente; Donner des cours d anglais, Jardinage; Non fumeur; Parking, Balade à cheval, Piscine; Pas de transfert; Demi-pension; 23/3/2024; 24/3/2024; -99; 46; 1; 6949
Berlin; 6; Chambre; Promener les chiens; Non fumeur; Piscine; Transfert possible; Pension complète; 4/4/2024; 21/4/2024; -99; 100; 1; 6950
Avignon; 5; Chambre; Bricolage; Pas d animaux, Non fumeur; Blanchissage; Pas de transfert; Demi-pension; 5/10/2024; 15/10/2024; -99; 82; 2; 6951
Strasbourg; 2; Tente; Promener les chiens, Jardinage; ; Balade à cheval, Blanchissage, Piscine; Pas de transfert; Petit déjeuner; 4/5/2023; 9/5/2023; -99; 18; 1; 6952
Seville; 3; Tente; Donner des cours d anglais; Pas d animaux, Non fumeur; Piscine; Pas de transfert; Demi-pension; 13/4/2024; 22/4/2024; -99; 6; 2; 6953
Paris; 6; Tente; Jardinage; Pas d animaux, Non fumeur; Piscine; Pas de transfert; Demi-pension; 17/10/2022; 18/10/2022; -99; 2; 1; 6954
Toulouse; 4; Cabane dans un arbre; Promener les chiens; Pas d animaux; Blanchissage; Transfert possible; Pension complète; 5/6/2022; 7/6/2022; -99; 5; 2; 6955
Paris; 6; Chambre; Babysitting; ; Piscine, Wifi, Parking; Transfert possible; Petit déjeuner; 20/4/2022; 21/4/2022; -99; 56; 2; 6956
Berlin; 3; Chambre; Promener les chiens, Bricolage; Pas d animaux, Non fumeur; Blanchissage, Wifi; Pas de transfert; Petit déjeuner; 24/9/2024; 25/9/2024; -99; 98; 2; 6957
Draguignan; 6; Cabane dans un arbre; Bricolage; ; Blanchissage; Pas de transfert; Demi-pension; 27/3/2024; 28/3/2024; -99; 35; 3; 6958
Marseille; 4; Cabane dans un arbre; Bricolage, Jardinage; Non fumeur, Pas d animaux; Balade à cheval, Blanchissage; Pas de transfert; Demi-pension; 4/8/2024; 5/8/2024; -99; 86; 1; 6959
Moscou; 5; Tente; Promener les chiens; ; Blanchissage, Balade à cheval; Transfert possible; Petit déjeuner; 16/8/2022; 17/8/2022; -99; 58; 3; 6960
Draguignan; 3; Cabane dans un arbre; Bricolage; Non fumeur; Piscine, Parking; Pas de transfert; Demi-pension; 28/5/2022; 29/5/2022; -99; 78; 3; 6961
Berlin; 3; Cabane dans un arbre; Bricolage, Babysitting; Pas d animaux; Balade à cheval, Parking; Transfert possible; Demi-pension; 19/12/2022; 20/12/2022; -99; 69; 1; 6962
Berlin; 2; Tente; Donner des cours d anglais; Non fumeur; Balade à cheval, Piscine, Blanchissage; Transfert possible; Demi-pension; 1/5/2022; 4/5/2022; -99; 73; 1; 6963
Strasbourg; 3; Cabane dans un arbre; Bricolage; ; Balade à cheval, Blanchissage; Pas de transfert; Pension complète; 20/1/2024; 21/1/2024; -99; 42; 3; 6964
Chartres; 6; Cabane dans un arbre; Babysitting; ; Balade à cheval; Pas de transfert; Pension complète; 15/12/2024; 16/12/2024; -99; 28; 3; 6965
Moscou; 2; Chambre; Donner des cours d anglais; Non fumeur; Parking, Piscine, Blanchissage; Pas de transfert; Pension complète; 9/3/2023; 10/3/2023; -99; 16; 1; 6966
Paris; 4; Tente; Promener les chiens, Jardinage; Non fumeur, Pas d animaux; Wifi; Transfert possible; Petit déjeuner; 24/2/2023; 25/2/2023; -99; 71; 1; 6967
Chartres; 6; Tente; Jardinage; ; Piscine, Blanchissage, Balade à cheval; Transfert possible; Petit déjeuner; 1/9/2022; 15/9/2022; -99; 16; 1; 6968
Paris; 2; Tente; Bricolage, Donner des cours d anglais; Non fumeur; Wifi; Pas de transfert; Demi-pension; 10/9/2024; 11/9/2024; -99; 39; 1; 6969
Moscou; 4; Tente; Bricolage; ; Piscine, Blanchissage, Wifi; Pas de transfert; Demi-pension; 28/8/2024; 29/8/2024; -99; 61; 1; 6970
Moscou; 3; Chambre; Donner des cours d anglais, Jardinage; Non fumeur; Wifi, Parking, Balade à cheval; Pas de transfert; Demi-pension; 6/8/2022; 7/8/2022; -99; 68; 3; 6971
Berlin; 2; Chambre; Babysitting; Non fumeur, Pas d animaux; Wifi, Blanchissage, Piscine; Transfert possible; Petit déjeuner; 2/5/2023; 28/5/2023; -99; 97; 1; 6972
Strasbourg; 5; Tente; Bricolage, Jardinage; Non fumeur; Parking, Balade à cheval, Blanchissage; Pas de transfert; Pension complète; 12/4/2024; 20/4/2024; -99; 31; 2; 6973
Paris; 4; Chambre; Promener les chiens; Non fumeur; Blanchissage, Balade à cheval, Wifi; Transfert possible; Pension complète; 28/7/2024; 29/7/2024; -99; 11; 2; 6974
Avignon; 5; Chambre; Bricolage, Jardinage; Pas d animaux; Balade à cheval; Pas de transfert; Petit déjeuner; 19/3/2024; 20/3/2024; -99; 36; 1; 6975
Toulouse; 2; Tente; Donner des cours d anglais; Pas d animaux, Non fumeur; Wifi, Blanchissage; Pas de transfert; Demi-pension; 4/8/2024; 9/8/2024; -99; 24; 3; 6976
Avignon; 4; Tente; Bricolage; ; Parking; Pas de transfert; Petit déjeuner; 13/2/2023; 14/2/2023; -99; 92; 1; 6977
Chartres; 6; Tente; Promener les chiens, Bricolage; Non fumeur, Pas d animaux; Parking, Blanchissage, Piscine; Pas de transfert; Petit déjeuner; 1/11/2022; 25/11/2022; -99; 13; 1; 6978
Avignon; 4; Chambre; Babysitting; Non fumeur, Pas d animaux; Piscine; Pas de transfert; Pension complète; 29/12/2024; 30/12/2024; -99; 87; 3; 6979
Draguignan; 4; Chambre; Donner des cours d anglais, Promener les chiens; ; Balade à cheval; Transfert possible; Petit déjeuner; 21/2/2023; 22/2/2023; -99; 55; 3; 6980
Chartres; 4; Chambre; Babysitting, Donner des cours d anglais; Non fumeur; Wifi, Balade à cheval; Pas de transfert; Demi-pension; 23/8/2024; 24/8/2024; -99; 20; 2; 6981
Moscou; 3; Tente; Bricolage, Promener les chiens; ; Balade à cheval, Blanchissage; Pas de transfert; Pension complète; 14/10/2022; 15/10/2022; -99; 28; 3; 6982
Toulouse; 2; Cabane dans un arbre; Jardinage, Promener les chiens; Pas d animaux; Blanchissage; Transfert possible; Demi-pension; 30/1/2023; 31/1/2023; -99; 17; 3; 6983
Toulouse; 3; Tente; Promener les chiens, Babysitting; ; Parking; Pas de transfert; Pension complète; 14/11/2024; 31/11/2024; -99; 93; 2; 6984
Paris; 3; Tente; Promener les chiens; Non fumeur, Pas d animaux; Wifi, Balade à cheval; Transfert possible; Demi-pension; 6/4/2023; 14/4/2023; -99; 39; 1; 6985
Paris; 3; Chambre; Promener les chiens; Pas d animaux, Non fumeur; Balade à cheval; Transfert possible; Petit déjeuner; 4/10/2022; 25/10/2022; -99; 16; 3; 6986
Strasbourg; 4; Cabane dans un arbre; Promener les chiens, Babysitting; ; Balade à cheval, Wifi; Transfert possible; Petit déjeuner; 8/2/2023; 9/2/2023; -99; 17; 3; 6987
Seville; 5; Tente; Jardinage, Donner des cours d anglais; ; Wifi, Balade à cheval, Parking; Transfert possible; Petit déjeuner; 25/3/2023; 26/3/2023; -99; 41; 3; 6988
Chartres; 2; Tente; Jardinage, Promener les chiens; ; Piscine, Parking, Wifi; Transfert possible; Demi-pension; 3/1/2023; 10/1/2023; -99; 44; 3; 6989
Seville; 2; Chambre; Donner des cours d anglais, Bricolage; Pas d animaux; Blanchissage; Transfert possible; Demi-pension; 17/9/2023; 29/9/2023; -99; 5; 2; 6990
Seville; 4; Chambre; Promener les chiens; ; Piscine; Pas de transfert; Pension complète; 19/12/2023; 20/12/2023; -99; 64; 3; 6991
Paris; 5; Tente; Donner des cours d anglais; Pas d animaux; Wifi, Parking; Transfert possible; Petit déjeuner; 16/10/2023; 31/10/2023; -99; 34; 3; 6992
Seville; 3; Chambre; Jardinage, Bricolage; Pas d animaux; Piscine, Balade à cheval; Pas de transfert; Demi-pension; 30/1/2023; 31/1/2023; -99; 7; 1; 6993
Marseille; 6; Tente; Bricolage; Non fumeur, Pas d animaux; Parking; Pas de transfert; Pension complète; 20/11/2023; 21/11/2023; -99; 95; 2; 6994
Berlin; 3; Tente; Jardinage; Pas d animaux, Non fumeur; Parking, Balade à cheval, Blanchissage; Transfert possible; Pension complète; 23/10/2024; 30/10/2024; -99; 77; 3; 6995
Berlin; 6; Cabane dans un arbre; Donner des cours d anglais, Promener les chiens; Pas d animaux; Blanchissage; Pas de transfert; Demi-pension; 29/5/2023; 30/5/2023; -99; 61; 1; 6996
Seville; 6; Cabane dans un arbre; Jardinage, Promener les chiens; ; Parking, Piscine; Pas de transfert; Pension complète; 20/3/2023; 21/3/2023; -99; 16; 1; 6997
Moscou; 4; Tente; Babysitting, Bricolage; Pas d animaux, Non fumeur; Balade à cheval, Blanchissage; Pas de transfert; Demi-pension; 28/6/2024; 29/6/2024; -99; 1; 2; 6998
Strasbourg; 3; Cabane dans un arbre; Promener les chiens; Pas d animaux, Non fumeur; Parking; Pas de transfert; Petit déjeuner; 23/11/2022; 24/11/2022; -99; 31; 2; 6999
Toulouse; 6; Chambre; Donner des cours d anglais; ; Balade à cheval; Pas de transfert; Pension complète; 11/1/2023; 29/1/2023; -99; 45; 2; 7000
Strasbourg; 6; Chambre; Donner des cours d anglais, Bricolage; Non fumeur; Blanchissage; Pas de transfert; Petit déjeuner; 6/6/2022; 24/6/2022; -99; 27; 1; 7001
Moscou; 5; Chambre; Promener les chiens; Non fumeur, Pas d animaux; Wifi; Pas de transfert; Pension complète; 14/6/2024; 15/6/2024; -99; 26; 3; 7002
Moscou; 6; Chambre; Donner des cours d anglais; ; Blanchissage, Piscine, Wifi; Transfert possible; Demi-pension; 20/12/2022; 21/12/2022; -99; 91; 1; 7003
Avignon; 4; Tente; Jardinage; Pas d animaux, Non fumeur; Blanchissage, Balade à cheval, Parking; Pas de transfert; Pension complète; 6/12/2023; 15/12/2023; -99; 40; 3; 7004
Toulouse; 4; Cabane dans un arbre; Donner des cours d anglais; Pas d animaux; Wifi, Piscine, Blanchissage; Transfert possible; Demi-pension; 19/1/2023; 20/1/2023; -99; 73; 1; 7005
Berlin; 6; Tente; Promener les chiens; Non fumeur, Pas d animaux; Wifi, Blanchissage; Pas de transfert; Petit déjeuner; 15/8/2022; 24/8/2022; -99; 19; 2; 7006
Strasbourg; 4; Chambre; Jardinage, Donner des cours d anglais; Pas d animaux, Non fumeur; Blanchissage, Wifi, Balade à cheval; Pas de transfert; Demi-pension; 8/12/2022; 30/12/2022; -99; 38; 1; 7007
Berlin; 5; Chambre; Donner des cours d anglais, Bricolage; Pas d animaux, Non fumeur; Piscine; Transfert possible; Pension complète; 27/7/2023; 28/7/2023; -99; 77; 3; 7008
Toulouse; 2; Chambre; Promener les chiens, Bricolage; ; Piscine, Blanchissage, Wifi; Pas de transfert; Pension complète; 18/11/2022; 19/11/2022; -99; 14; 2; 7009
Paris; 2; Chambre; Donner des cours d anglais; ; Balade à cheval; Pas de transfert; Petit déjeuner; 27/9/2022; 28/9/2022; -99; 52; 3; 7010
Avignon; 5; Cabane dans un arbre; Jardinage, Donner des cours d anglais; ; Piscine; Transfert possible; Pension complète; 3/6/2022; 24/6/2022; -99; 99; 3; 7011
Seville; 2; Tente; Jardinage; Pas d animaux, Non fumeur; Balade à cheval, Parking, Blanchissage; Transfert possible; Demi-pension; 12/12/2022; 17/12/2022; -99; 27; 1; 7012
Moscou; 3; Cabane dans un arbre; Jardinage, Donner des cours d anglais; ; Blanchissage, Balade à cheval; Pas de transfert; Pension complète; 27/11/2023; 28/11/2023; -99; 34; 2; 7013
Avignon; 6; Cabane dans un arbre; Babysitting, Promener les chiens; Non fumeur, Pas d animaux; Parking, Balade à cheval; Pas de transfert; Pension complète; 4/6/2024; 6/6/2024; -99; 44; 2; 7014
Seville; 2; Cabane dans un arbre; Promener les chiens; Non fumeur, Pas d animaux; Piscine; Pas de transfert; Demi-pension; 15/7/2022; 28/7/2022; -99; 2; 1; 7015
Toulouse; 6; Tente; Bricolage, Donner des cours d anglais; Non fumeur, Pas d animaux; Blanchissage, Piscine; Pas de transfert; Demi-pension; 6/2/2024; 18/2/2024; -99; 2; 3; 7016
Draguignan; 4; Cabane dans un arbre; Bricolage; Pas d animaux, Non fumeur; Blanchissage; Pas de transfert; Petit déjeuner; 5/4/2023; 13/4/2023; -99; 66; 2; 7017
Toulouse; 6; Tente; Jardinage; Pas d animaux, Non fumeur; Balade à cheval, Piscine, Wifi; Transfert possible; Petit déjeuner; 3/10/2022; 14/10/2022; -99; 73; 3; 7018
Marseille; 2; Chambre; Promener les chiens, Bricolage; ; Piscine, Parking, Balade à cheval; Transfert possible; Demi-pension; 5/4/2022; 21/4/2022; -99; 31; 3; 7019
Seville; 6; Tente; Babysitting; Pas d animaux; Parking; Transfert possible; Pension complète; 15/3/2024; 16/3/2024; -99; 9; 3; 7020
Toulouse; 5; Tente; Promener les chiens, Bricolage; ; Wifi, Piscine, Parking; Pas de transfert; Pension complète; 2/6/2022; 3/6/2022; -99; 76; 3; 7021
Moscou; 2; Cabane dans un arbre; Donner des cours d anglais, Jardinage; Non fumeur, Pas d animaux; Piscine; Pas de transfert; Pension complète; 28/12/2022; 29/12/2022; -99; 87; 1; 7022
Berlin; 3; Tente; Bricolage; Pas d animaux, Non fumeur; Piscine; Pas de transfert; Pension complète; 4/5/2022; 18/5/2022; -99; 56; 1; 7023
Seville; 2; Chambre; Jardinage, Bricolage; Pas d animaux; Piscine, Balade à cheval, Parking; Transfert possible; Petit déjeuner; 28/7/2022; 29/7/2022; -99; 34; 3; 7024
Chartres; 4; Cabane dans un arbre; Babysitting, Bricolage; Pas d animaux; Piscine, Parking, Blanchissage; Transfert possible; Petit déjeuner; 29/1/2024; 30/1/2024; -99; 85; 1; 7025
Avignon; 4; Tente; Promener les chiens, Bricolage; Pas d animaux, Non fumeur; Parking, Balade à cheval; Pas de transfert; Pension complète; 16/6/2022; 23/6/2022; -99; 91; 3; 7026
Strasbourg; 6; Cabane dans un arbre; Jardinage, Promener les chiens; Non fumeur, Pas d animaux; Piscine; Pas de transfert; Demi-pension; 1/6/2022; 2/6/2022; -99; 7; 2; 7027
Moscou; 5; Tente; Babysitting; Non fumeur; Blanchissage; Pas de transfert; Demi-pension; 17/11/2023; 20/11/2023; -99; 78; 1; 7028
Marseille; 3; Cabane dans un arbre; Donner des cours d anglais, Bricolage; Pas d animaux, Non fumeur; Blanchissage, Parking; Transfert possible; Petit déjeuner; 19/12/2022; 20/12/2022; -99; 61; 3; 7029
Strasbourg; 3; Tente; Jardinage; Non fumeur, Pas d animaux; Piscine, Wifi, Balade à cheval; Transfert possible; Petit déjeuner; 29/10/2024; 30/10/2024; -99; 64; 1; 7030
Avignon; 4; Tente; Jardinage; ; Parking, Wifi, Piscine; Transfert possible; Petit déjeuner; 7/7/2024; 23/7/2024; -99; 100; 1; 7031
Toulouse; 5; Cabane dans un arbre; Donner des cours d anglais, Jardinage; Non fumeur; Blanchissage, Balade à cheval; Pas de transfert; Pension complète; 7/2/2023; 18/2/2023; -99; 86; 2; 7032
Berlin; 3; Tente; Donner des cours d anglais, Babysitting; ; Balade à cheval; Transfert possible; Petit déjeuner; 24/12/2022; 25/12/2022; -99; 15; 1; 7033
Marseille; 3; Cabane dans un arbre; Jardinage, Bricolage; Non fumeur, Pas d animaux; Parking, Piscine, Blanchissage; Transfert possible; Petit déjeuner; 9/12/2023; 10/12/2023; -99; 49; 2; 7034
Toulouse; 4; Cabane dans un arbre; Jardinage, Donner des cours d anglais; Non fumeur; Balade à cheval, Blanchissage, Parking; Transfert possible; Pension complète; 24/1/2024; 25/1/2024; -99; 51; 1; 7035
Chartres; 3; Chambre; Donner des cours d anglais; Non fumeur, Pas d animaux; Piscine; Pas de transfert; Pension complète; 19/3/2024; 26/3/2024; -99; 35; 1; 7036
Draguignan; 6; Tente; Babysitting; Pas d animaux; Blanchissage; Pas de transfert; Demi-pension; 10/12/2023; 24/12/2023; -99; 76; 1; 7037
Marseille; 2; Chambre; Donner des cours d anglais; ; Blanchissage, Parking, Wifi; Transfert possible; Demi-pension; 21/10/2023; 22/10/2023; -99; 85; 2; 7038
Marseille; 4; Tente; Promener les chiens, Babysitting; ; Balade à cheval, Blanchissage; Transfert possible; Petit déjeuner; 4/7/2022; 5/7/2022; -99; 56; 3; 7039
Avignon; 4; Chambre; Bricolage; ; Parking, Wifi, Piscine; Transfert possible; Pension complète; 6/10/2023; 7/10/2023; -99; 43; 1; 7040
Marseille; 6; Tente; Donner des cours d anglais; Pas d animaux, Non fumeur; Balade à cheval; Pas de transfert; Demi-pension; 6/10/2024; 13/10/2024; -99; 3; 1; 7041
Marseille; 3; Tente; Promener les chiens; ; Balade à cheval, Piscine; Pas de transfert; Petit déjeuner; 12/9/2023; 23/9/2023; -99; 3; 1; 7042
Avignon; 2; Chambre; Promener les chiens; Non fumeur; Piscine, Balade à cheval; Transfert possible; Pension complète; 17/8/2024; 24/8/2024; -99; 75; 3; 7043
Paris; 5; Cabane dans un arbre; Donner des cours d anglais; ; Wifi, Blanchissage, Parking; Transfert possible; Petit déjeuner; 7/2/2023; 16/2/2023; -99; 77; 2; 7044
Seville; 6; Cabane dans un arbre; Babysitting, Jardinage; Pas d animaux, Non fumeur; Parking, Piscine, Wifi; Pas de transfert; Demi-pension; 6/12/2024; 30/12/2024; -99; 70; 2; 7045
Toulouse; 4; Tente; Babysitting; Pas d animaux, Non fumeur; Blanchissage; Pas de transfert; Pension complète; 10/9/2022; 11/9/2022; -99; 83; 1; 7046
Toulouse; 4; Cabane dans un arbre; Babysitting, Jardinage; Pas d animaux; Wifi, Piscine; Transfert possible; Pension complète; 16/12/2023; 21/12/2023; -99; 23; 1; 7047
Avignon; 6; Tente; Jardinage; Non fumeur; Blanchissage, Parking; Pas de transfert; Demi-pension; 9/7/2024; 25/7/2024; -99; 21; 1; 7048
Chartres; 5; Tente; Promener les chiens; Pas d animaux, Non fumeur; Wifi, Balade à cheval; Transfert possible; Petit déjeuner; 1/2/2023; 26/2/2023; -99; 85; 2; 7049
Toulouse; 3; Tente; Donner des cours d anglais; Non fumeur; Parking; Transfert possible; Pension complète; 21/4/2024; 25/4/2024; -99; 41; 3; 7050
Seville; 4; Chambre; Bricolage, Babysitting; ; Piscine; Transfert possible; Petit déjeuner; 5/3/2023; 8/3/2023; -99; 42; 1; 7051
Moscou; 4; Chambre; Babysitting; Non fumeur, Pas d animaux; Parking, Piscine, Balade à cheval; Transfert possible; Petit déjeuner; 20/2/2024; 21/2/2024; -99; 66; 1; 7052
Seville; 4; Tente; Donner des cours d anglais; Non fumeur; Blanchissage, Parking; Pas de transfert; Pension complète; 14/5/2023; 23/5/2023; -99; 22; 3; 7053
Toulouse; 3; Tente; Promener les chiens; Pas d animaux, Non fumeur; Wifi, Parking; Pas de transfert; Demi-pension; 18/10/2022; 19/10/2022; -99; 39; 1; 7054
Seville; 3; Cabane dans un arbre; Donner des cours d anglais, Jardinage; Pas d animaux, Non fumeur; Piscine, Balade à cheval, Blanchissage; Transfert possible; Pension complète; 27/7/2023; 28/7/2023; -99; 84; 3; 7055
Draguignan; 4; Cabane dans un arbre; Donner des cours d anglais, Promener les chiens; ; Balade à cheval, Parking; Pas de transfert; Pension complète; 8/2/2023; 25/2/2023; -99; 6; 2; 7056
Marseille; 2; Tente; Donner des cours d anglais, Bricolage; ; Wifi, Balade à cheval; Transfert possible; Petit déjeuner; 1/8/2024; 30/8/2024; -99; 67; 2; 7057
Seville; 6; Chambre; Bricolage, Jardinage; ; Piscine, Parking, Balade à cheval; Transfert possible; Demi-pension; 10/2/2024; 18/2/2024; -99; 55; 2; 7058
Avignon; 6; Chambre; Promener les chiens; ; Piscine, Balade à cheval; Transfert possible; Petit déjeuner; 29/10/2022; 30/10/2022; -99; 34; 2; 7059
Berlin; 2; Cabane dans un arbre; Babysitting; ; Wifi, Piscine; Transfert possible; Pension complète; 15/1/2024; 22/1/2024; -99; 42; 1; 7060
Paris; 2; Cabane dans un arbre; Bricolage; ; Balade à cheval, Wifi; Transfert possible; Pension complète; 27/12/2022; 28/12/2022; -99; 74; 3; 7061
Avignon; 6; Tente; Jardinage; ; Blanchissage, Balade à cheval, Parking; Pas de transfert; Demi-pension; 17/12/2022; 18/12/2022; -99; 93; 1; 7062
Avignon; 4; Cabane dans un arbre; Promener les chiens; Non fumeur, Pas d animaux; Piscine, Blanchissage, Balade à cheval; Transfert possible; Petit déjeuner; 6/9/2024; 7/9/2024; -99; 81; 1; 7063
Seville; 5; Cabane dans un arbre; Donner des cours d anglais, Bricolage; ; Balade à cheval, Parking, Blanchissage; Transfert possible; Petit déjeuner; 25/8/2023; 26/8/2023; -99; 87; 3; 7064
Moscou; 5; Tente; Bricolage, Promener les chiens; Pas d animaux; Blanchissage; Transfert possible; Petit déjeuner; 29/8/2023; 30/8/2023; -99; 29; 2; 7065
Avignon; 2; Chambre; Babysitting, Bricolage; Non fumeur; Blanchissage; Transfert possible; Demi-pension; 11/12/2023; 12/12/2023; -99; 50; 2; 7066
Avignon; 4; Chambre; Jardinage; ; Parking, Balade à cheval; Pas de transfert; Pension complète; 11/10/2024; 28/10/2024; -99; 21; 3; 7067
Avignon; 2; Tente; Jardinage, Babysitting; ; Piscine, Wifi; Pas de transfert; Pension complète; 23/10/2023; 24/10/2023; -99; 25; 1; 7068
Paris; 6; Chambre; Jardinage; Pas d animaux; Parking, Piscine; Pas de transfert; Petit déjeuner; 7/12/2023; 19/12/2023; -99; 42; 3; 7069
Seville; 3; Chambre; Promener les chiens; Pas d animaux; Piscine; Transfert possible; Demi-pension; 18/2/2023; 19/2/2023; -99; 78; 1; 7070
Marseille; 3; Chambre; Jardinage, Donner des cours d anglais; Pas d animaux, Non fumeur; Blanchissage, Balade à cheval; Pas de transfert; Demi-pension; 12/2/2024; 13/2/2024; -99; 85; 3; 7071
Draguignan; 6; Cabane dans un arbre; Bricolage, Jardinage; Non fumeur, Pas d animaux; Wifi, Blanchissage; Transfert possible; Pension complète; 30/11/2022; 31/12/2022; -99; 92; 1; 7072
Avignon; 2; Chambre; Babysitting, Donner des cours d anglais; Non fumeur, Pas d animaux; Wifi, Blanchissage; Transfert possible; Pension complète; 4/8/2023; 16/8/2023; -99; 61; 1; 7073
Strasbourg; 3; Chambre; Bricolage, Donner des cours d anglais; ; Balade à cheval, Blanchissage; Pas de transfert; Petit déjeuner; 19/5/2023; 26/5/2023; -99; 95; 3; 7074
Berlin; 6; Tente; Promener les chiens; Non fumeur, Pas d animaux; Balade à cheval; Transfert possible; Petit déjeuner; 12/8/2023; 24/8/2023; -99; 99; 3; 7075
Strasbourg; 5; Cabane dans un arbre; Babysitting; Non fumeur; Blanchissage, Wifi, Piscine; Transfert possible; Petit déjeuner; 13/8/2022; 17/8/2022; -99; 16; 2; 7076
Strasbourg; 3; Chambre; Babysitting, Promener les chiens; Non fumeur; Balade à cheval, Wifi, Blanchissage; Pas de transfert; Petit déjeuner; 9/3/2024; 16/3/2024; -99; 42; 1; 7077
Moscou; 6; Cabane dans un arbre; Promener les chiens; Pas d animaux; Parking, Wifi, Balade à cheval; Pas de transfert; Petit déjeuner; 1/6/2022; 28/6/2022; -99; 88; 3; 7078
Seville; 2; Tente; Donner des cours d anglais; Non fumeur; Blanchissage, Piscine; Pas de transfert; Petit déjeuner; 7/12/2022; 8/12/2022; -99; 68; 1; 7079
Chartres; 5; Tente; Babysitting; Pas d animaux, Non fumeur; Balade à cheval, Blanchissage; Transfert possible; Petit déjeuner; 30/10/2023; 31/10/2023; -99; 63; 3; 7080
Avignon; 4; Tente; Promener les chiens, Bricolage; Non fumeur; Parking, Balade à cheval; Transfert possible; Pension complète; 2/7/2023; 9/7/2023; -99; 43; 2; 7081
Avignon; 4; Tente; Bricolage; ; Blanchissage, Balade à cheval, Wifi; Transfert possible; Demi-pension; 27/4/2023; 28/4/2023; -99; 38; 1; 7082
Paris; 4; Cabane dans un arbre; Jardinage; ; Piscine; Pas de transfert; Pension complète; 13/7/2022; 14/7/2022; -99; 4; 2; 7083
Marseille; 5; Chambre; Bricolage; Pas d animaux, Non fumeur; Balade à cheval, Piscine, Wifi; Transfert possible; Pension complète; 29/12/2024; 30/12/2024; -99; 21; 3; 7084
Paris; 3; Cabane dans un arbre; Babysitting, Jardinage; ; Piscine, Blanchissage; Pas de transfert; Demi-pension; 13/6/2022; 14/6/2022; -99; 92; 2; 7085
Moscou; 5; Tente; Bricolage, Babysitting; Non fumeur; Parking; Pas de transfert; Petit déjeuner; 30/5/2024; 31/5/2024; -99; 1; 3; 7086
Paris; 6; Tente; Jardinage, Babysitting; Non fumeur, Pas d animaux; Blanchissage; Pas de transfert; Pension complète; 1/8/2022; 6/8/2022; -99; 78; 3; 7087
Toulouse; 6; Tente; Promener les chiens; Pas d animaux; Piscine, Blanchissage, Wifi; Pas de transfert; Demi-pension; 10/2/2023; 11/2/2023; -99; 6; 3; 7088
Chartres; 6; Tente; Babysitting; Pas d animaux, Non fumeur; Wifi, Parking; Transfert possible; Pension complète; 27/5/2022; 28/5/2022; -99; 39; 1; 7089
Toulouse; 2; Chambre; Jardinage, Bricolage; ; Balade à cheval, Wifi; Transfert possible; Pension complète; 12/7/2023; 19/7/2023; -99; 18; 2; 7090
Paris; 6; Tente; Jardinage, Bricolage; Non fumeur, Pas d animaux; Balade à cheval, Piscine, Blanchissage; Transfert possible; Demi-pension; 26/10/2024; 27/10/2024; -99; 64; 3; 7091
Strasbourg; 2; Tente; Babysitting, Donner des cours d anglais; ; Balade à cheval, Piscine, Blanchissage; Transfert possible; Pension complète; 9/4/2023; 27/4/2023; -99; 4; 2; 7092
Seville; 5; Tente; Jardinage; Non fumeur; Wifi, Blanchissage, Parking; Pas de transfert; Demi-pension; 30/6/2022; 31/6/2022; -99; 44; 3; 7093
Chartres; 2; Cabane dans un arbre; Donner des cours d anglais; Pas d animaux; Blanchissage, Balade à cheval; Pas de transfert; Demi-pension; 8/8/2022; 26/8/2022; -99; 10; 2; 7094
Strasbourg; 4; Chambre; Jardinage, Bricolage; Pas d animaux, Non fumeur; Balade à cheval; Transfert possible; Pension complète; 3/4/2024; 5/4/2024; -99; 16; 2; 7095
Avignon; 5; Tente; Jardinage, Donner des cours d anglais; Non fumeur; Balade à cheval, Wifi, Piscine; Transfert possible; Pension complète; 24/8/2023; 25/8/2023; -99; 46; 2; 7096
Paris; 3; Chambre; Donner des cours d anglais, Promener les chiens; ; Parking, Wifi, Blanchissage; Pas de transfert; Pension complète; 10/6/2022; 11/6/2022; -99; 61; 1; 7097
Toulouse; 4; Chambre; Bricolage, Donner des cours d anglais; Pas d animaux, Non fumeur; Piscine, Balade à cheval; Pas de transfert; Demi-pension; 12/12/2022; 13/12/2022; -99; 3; 1; 7098
Strasbourg; 4; Cabane dans un arbre; Jardinage, Promener les chiens; Non fumeur; Parking; Pas de transfert; Pension complète; 14/10/2022; 15/10/2022; -99; 4; 1; 7099
Toulouse; 5; Tente; Jardinage; Non fumeur; Piscine; Pas de transfert; Petit déjeuner; 9/8/2022; 16/8/2022; -99; 3; 1; 7100
Marseille; 3; Chambre; Jardinage; ; Wifi; Transfert possible; Demi-pension; 23/6/2024; 24/6/2024; -99; 78; 3; 7101
Toulouse; 2; Tente; Bricolage, Donner des cours d anglais; ; Balade à cheval, Blanchissage, Wifi; Transfert possible; Petit déjeuner; 21/12/2024; 28/12/2024; -99; 28; 1; 7102
Toulouse; 3; Chambre; Jardinage; Non fumeur, Pas d animaux; Piscine, Wifi, Blanchissage; Transfert possible; Demi-pension; 1/9/2024; 2/9/2024; -99; 55; 1; 7103
